WALIS_ID,Latitude,Longitude,Site,Subsite,Nation,Region,Type of datapoint,RSL Indicator,RSL indicator description,Elevation measurement technique,Elevation (m),Elevation error (m),Paleo water depth estimate (m),Upper limit of living range (m),Lower limit of living range (m),RWL,IR,Vertical datum,Paleo RSL (m),Paleo RSL uncertainty (m),Dating technique,Timing constraint,Originally reported ID,Analysis ID,Material_type,Reported age (ka),Reported age uncertainty (ka),U-Series recalculated age (ka),U-Series recalculate age uncertainty (ka),"U-Series corrected age (speleothems, ka)","U-Series corrected age uncertainty (speleothems, ka)",Stratigraphy Upper Age (ka),Stratigraphy Lower Age (ka),MIS limit,Marine Isotopic Stage,Quality of RSL information,Quality of age information,Reference(s),Record Created by,Last Update,Lower age,Age (ka) 0.1 perc,Age (ka) 2.3 perc,Age (ka) 15.9 perc,Age (ka) 50 perc,Age (ka) 84.1 perc,Age (ka) 97.7 perc,Age (ka) 99.5 perc,Upper age,Age calculation from,RSL (m) 0.1 perc,RSL (m) 2.3 perc,RSL (m) 15.9 perc,RSL (m) 50 perc,RSL (m) 84.1 perc,RSL (m) 97.7 perc,RSL (m) 99.5 perc
RSL_3457,23.925373999999998,-77.65209899999999,"Bahamas  Blue hole in South Bight Andros
Original Sample ID: BH-M",Original Sample ID: BH-M,Bahamas,0,Terrestrial Limiting,The datapoint is a marine or terrestrial limiting indicator,stalagmite,Not reported,-45.0,9.0,,,,0.0,0.0,Mean Sea Level / General definition,0.0,0.0,U-Series,Equal to,BH-M,GA79-001-001,Speleothem,161.6,21.1,,,,,,,,,0.0,5.0,"Gascoyne et al., 1979
 Dumitru et al., in prep",Oana_Alexandra Dumitru,2020-12-10 15:33:28,,129.95,140.5,151.04999999999998,161.6,172.15,182.7,193.25,,Recalculation/Report,,,,,,,
RSL_3458,23.925373999999998,-77.65209899999999,"Bahamas  Blue hole in South Bight Andros
Original Sample ID: BH-L",Original Sample ID: BH-L,Bahamas,0,Terrestrial Limiting,The datapoint is a marine or terrestrial limiting indicator,stalagmite,Not reported,-45.0,9.0,,,,0.0,0.0,Not reported,0.0,0.0,U-Series,Equal to,BH-L,GA79-001-002,Speleothem,127.8,8.9,,,,,,,,,0.0,5.0,"Gascoyne et al., 1979
 Dumitru et al., in prep",Oana_Alexandra Dumitru,2020-12-10 15:33:28,,114.44999999999999,118.89999999999999,123.35,127.8,132.25,136.7,141.15,,Recalculation/Report,,,,,,,
RSL_3459,23.925373999999998,-77.65209899999999,"Bahamas  Blue hole in South Bight Andros
Original Sample ID: 76015-3",Original Sample ID: 76015-3,Bahamas,0,Terrestrial Limiting,The datapoint is a marine or terrestrial limiting indicator,stalagmite,Not reported,-45.0,9.0,,,,0.0,0.0,Not reported,0.0,0.0,U-Series,Equal to,76015-3,GA79-002-001,Speleothem,104.1,10.2,,,,,,,,,0.0,5.0,"Gascoyne et al., 1979
 Dumitru et al., in prep",Oana_Alexandra Dumitru,2020-12-10 15:33:28,,88.8,93.89999999999999,99.0,104.1,109.19999999999999,114.3,119.39999999999999,,Recalculation/Report,,,,,,,
RSL_3460,23.925373999999998,-77.65209899999999,"Bahamas  Blue hole in South Bight Andros
Original Sample ID: 76015-1a",Original Sample ID: 76015-1a,Bahamas,0,Terrestrial Limiting,The datapoint is a marine or terrestrial limiting indicator,stalagmite,Not reported,-45.0,9.0,,,,0.0,0.0,Not reported,0.0,0.0,U-Series,Equal to,76015-1a,GA79-002-002,Speleothem,123.1,9.1,,,,,,,,,0.0,5.0,"Gascoyne et al., 1979
 Dumitru et al., in prep",Oana_Alexandra Dumitru,2020-12-10 15:33:28,,109.44999999999999,114.0,118.55,123.1,127.64999999999999,132.2,136.75,,Recalculation/Report,,,,,,,
RSL_3461,23.925373999999998,-77.65209899999999,"Bahamas  Blue hole in South Bight Andros
Original Sample ID: 76015-1b",Original Sample ID: 76015-1b,Bahamas,0,Terrestrial Limiting,The datapoint is a marine or terrestrial limiting indicator,stalagmite,Not reported,-45.0,9.0,,,,0.0,0.0,Not reported,0.0,0.0,U-Series,Equal to,76015-1b,GA79-002-003,Speleothem,118.5,9.3,,,,,,,,,0.0,5.0,"Gascoyne et al., 1979
 Dumitru et al., in prep",Oana_Alexandra Dumitru,2020-12-10 15:33:28,,104.55,109.2,113.85,118.5,123.15,127.8,132.45,,Recalculation/Report,,,,,,,
RSL_3462,23.925373999999998,-77.65209899999999,"Bahamas  Blue hole in South Bight Andros
Original Sample ID: 76016-3",Original Sample ID: 76016-3,Bahamas,0,Terrestrial Limiting,The datapoint is a marine or terrestrial limiting indicator,stalagmite,Not reported,-45.0,9.0,,,,0.0,0.0,Not reported,0.0,0.0,U-Series,Equal to,76016-3,GA79-003-001,Speleothem,101.1,7.5,,,,,,,,,0.0,5.0,"Gascoyne et al., 1979
 Dumitru et al., in prep",Oana_Alexandra Dumitru,2020-12-10 15:33:28,,89.85,93.6,97.35,101.1,104.85,108.6,112.35,,Recalculation/Report,,,,,,,
RSL_3463,23.925373999999998,-77.65209899999999,"Bahamas  Blue hole in South Bight Andros
Original Sample ID: 76016-4",Original Sample ID: 76016-4,Bahamas,0,Terrestrial Limiting,The datapoint is a marine or terrestrial limiting indicator,stalagmite,Not reported,-45.0,9.0,,,,0.0,0.0,Not reported,0.0,0.0,U-Series,Equal to,76016-4,GA79-003-002,Speleothem,96.5,6.8,,,,,,,,,0.0,5.0,"Gascoyne et al., 1979
 Dumitru et al., in prep",Oana_Alexandra Dumitru,2020-12-10 15:33:28,,86.3,89.7,93.1,96.5,99.9,103.3,106.7,,Recalculation/Report,,,,,,,
RSL_3464,23.925373999999998,-77.65209899999999,"Bahamas  Blue hole in South Bight Andros
Original Sample ID: 76016-1a",Original Sample ID: 76016-1a,Bahamas,0,Terrestrial Limiting,The datapoint is a marine or terrestrial limiting indicator,stalagmite,Not reported,-45.0,9.0,,,,0.0,0.0,Not reported,0.0,0.0,U-Series,Equal to,76016-1a,GA79-003-003,Speleothem,128.8,11.6,,,,,,,,,0.0,5.0,"Gascoyne et al., 1979
 Dumitru et al., in prep",Oana_Alexandra Dumitru,2020-12-10 15:33:28,,111.4,117.20000000000002,123.00000000000001,128.8,134.60000000000002,140.4,146.20000000000002,,Recalculation/Report,,,,,,,
RSL_3465,23.925373999999998,-77.65209899999999,"Bahamas  Blue hole in South Bight Andros
Original Sample ID: 76016-1b",Original Sample ID: 76016-1b,Bahamas,0,Terrestrial Limiting,The datapoint is a marine or terrestrial limiting indicator,stalagmite,Not reported,-45.0,9.0,,,,0.0,0.0,Not reported,0.0,0.0,U-Series,Equal to,76016-1b,GA79-003-004,Speleothem,122.3,32.85,,,,,,,,,0.0,5.0,"Gascoyne et al., 1979
 Dumitru et al., in prep",Oana_Alexandra Dumitru,2020-12-10 15:33:28,,73.02499999999999,89.44999999999999,105.875,122.3,138.725,155.15,171.575,,Recalculation/Report,,,,,,,
RSL_3466,26.6045,-78.4015,"Bahamas  Lucayan Caverns Grand Bahama Is
Original Sample ID: 7",Original Sample ID: 7,Bahamas,0,Terrestrial Limiting,The datapoint is a marine or terrestrial limiting indicator,flowstones,Not reported,-15.0,3.0,,,,0.0,0.0,Not reported,0.0,0.0,U-Series,Equal to,7,LU94-001-001,Speleothem,94.3,8.5,,,,,,,,,0.0,5.0,"Lundberg and Ford, 1994
 Dumitru et al., in prep",Oana_Alexandra Dumitru,2020-12-10 15:33:28,,81.55,85.8,90.05,94.3,98.55,102.8,107.05,,Recalculation/Report,,,,,,,
RSL_3467,26.6045,-78.4015,"Bahamas  Lucayan Caverns Grand Bahama Is
Original Sample ID: 8/9",Original Sample ID: 8/9,Bahamas,0,Terrestrial Limiting,The datapoint is a marine or terrestrial limiting indicator,flowstones,Not reported,-15.0,3.0,,,,0.0,0.0,Not reported,0.0,0.0,U-Series,Equal to,8/9,LU94-001-002,Speleothem,129.5,4.4,,,,,,,,,0.0,5.0,"Lundberg and Ford, 1994
 Dumitru et al., in prep",Oana_Alexandra Dumitru,2020-12-10 15:33:28,,122.9,125.1,127.3,129.5,131.7,133.9,136.1,,Recalculation/Report,,,,,,,
RSL_3468,26.6045,-78.4015,"Bahamas  Lucayan Caverns Grand Bahama Is
Original Sample ID: 12",Original Sample ID: 12,Bahamas,0,Terrestrial Limiting,The datapoint is a marine or terrestrial limiting indicator,flowstones,Not reported,-15.0,3.0,,,,0.0,0.0,Not reported,0.0,0.0,U-Series,Equal to,12,LU94-001-003,Speleothem,133.6,2.3,,,,,,,,,0.0,5.0,"Lundberg and Ford, 1994
 Dumitru et al., in prep",Oana_Alexandra Dumitru,2020-12-10 15:33:28,,130.15,131.29999999999998,132.45,133.6,134.75,135.9,137.04999999999998,,Recalculation/Report,,,,,,,
