WALIS_ID,Latitude,Longitude,Site,Subsite,Nation,Region,Type of datapoint,RSL Indicator,RSL indicator description,Elevation measurement technique,Elevation (m),Elevation error (m),Paleo water depth estimate (m),Upper limit of living range (m),Lower limit of living range (m),RWL,IR,Vertical datum,Paleo RSL (m),Paleo RSL uncertainty (m),Dating technique,Timing constraint,Originally reported ID,Analysis ID,Material_type,Reported age (ka),Reported age uncertainty (ka),U-Series recalculated age (ka),U-Series recalculate age uncertainty (ka),"U-Series corrected age (speleothems, ka)","U-Series corrected age uncertainty (speleothems, ka)",Stratigraphy Upper Age (ka),Stratigraphy Lower Age (ka),MIS limit,Marine Isotopic Stage,Quality of RSL information,Quality of age information,Reference(s),Record Created by,Last Update,Lower age,Age (ka) 0.1 perc,Age (ka) 2.3 perc,Age (ka) 15.9 perc,Age (ka) 50 perc,Age (ka) 84.1 perc,Age (ka) 97.7 perc,Age (ka) 99.5 perc,Upper age,Age calculation from,Lower RSL,RSL (m) 0.1 perc,RSL (m) 2.3 perc,RSL (m) 15.9 perc,RSL (m) 50 perc,RSL (m) 84.1 perc,RSL (m) 97.7 perc,RSL (m) 99.5 perc,Upper RSL
RSL_448,18.124437,-87.83051800000001,"Ambergis Cay, Belize
Reef Point",Reef Point,Belize,Corozal,Sea Level Indicator,Shallow water coral reef facies,Barrier Reef/reef-flat,Not reported,0.5,1.0,,,,-0.5,1.0,Mean Sea Level / General definition,1.0,1.118033988749895,U-Series,Equal to,KW-90,MA06-001-001,Coral,135.8,900.0,,,,,,,,,3.0,3.0,"Mazzullo, 2006",Alexander Simms,2020-08-26 17:26:45,,-1214.2,-764.2,-314.2,135.8,585.8,1035.8,1485.8,,Recalculation/Report,,-2.3541019662496847,-1.2360679774997898,-0.1180339887498949,1.0,2.118033988749895,3.23606797749979,4.354101966249685,
RSL_168,-14.98,-39.003333000000005,"Fazenda Jariri
",,Brazil,Bahia,Sea Level Indicator,Coral reef terrace (general definition),It is a marine terrace that in its base presents a coral reef in which fragments of coral of the species Siderastra sp. were identified. These   allowed the dating of the deposit. ,Not reported,1.27,1.0,,,,-6.5,7.0,Mean Sea Level / General definition,7.77,3.640054944640259,U-Series,Equal to,CP-2,MA82-001-001,Coral,116.0,6.9,,,,,,,,,2.0,3.0,"Martin et al., 1982",Karla Zurisadai Rubio Sandoval ,2020-10-24 10:07:42,,105.65,109.1,112.55,116.0,119.45,122.9,126.35,,Recalculation/Report,,-3.150164833920778,0.4898901107194815,4.129945055359741,7.77,11.410054944640258,15.050109889280517,18.690164833920775,
RSL_168,-14.98,-39.003333000000005,"Fazenda Jariri
",,Brazil,Bahia,Sea Level Indicator,Coral reef terrace (general definition),It is a marine terrace that in its base presents a coral reef in which fragments of coral of the species Siderastra sp. were identified. These   allowed the dating of the deposit. ,Not reported,1.27,1.0,,,,-6.5,7.0,Mean Sea Level / General definition,7.77,3.640054944640259,U-Series,Equal to,CP-1,MA82-002-001,Coral,122.0,6.1,,,,,,,,,2.0,3.0,"Martin et al., 1982",Karla Zurisadai Rubio Sandoval ,2020-10-24 10:07:42,,112.85,115.9,118.95,122.0,125.05,128.1,131.15,,Recalculation/Report,,-3.150164833920778,0.4898901107194815,4.129945055359741,7.77,11.410054944640258,15.050109889280517,18.690164833920775,
RSL_168,-14.98,-39.003333000000005,"Fazenda Jariri
",,Brazil,Bahia,Sea Level Indicator,Coral reef terrace (general definition),It is a marine terrace that in its base presents a coral reef in which fragments of coral of the species Siderastra sp. were identified. These   allowed the dating of the deposit. ,Not reported,1.27,1.0,,,,-6.5,7.0,Mean Sea Level / General definition,7.77,3.640054944640259,U-Series,Equal to,CP-8,MA82-003-001,Coral,124.0,8.7,,,,,,,,,2.0,3.0,"Martin et al., 1982",Karla Zurisadai Rubio Sandoval ,2020-10-24 10:07:42,,110.95,115.3,119.65,124.0,128.35,132.7,137.05,,Recalculation/Report,,-3.150164833920778,0.4898901107194815,4.129945055359741,7.77,11.410054944640258,15.050109889280517,18.690164833920775,
RSL_168,-14.98,-39.003333000000005,"Fazenda Jariri
",,Brazil,Bahia,Sea Level Indicator,Coral reef terrace (general definition),It is a marine terrace that in its base presents a coral reef in which fragments of coral of the species Siderastra sp. were identified. These   allowed the dating of the deposit. ,Not reported,1.27,1.0,,,,-6.5,7.0,Mean Sea Level / General definition,7.77,3.640054944640259,U-Series,Equal to,CP-6,MA82-004-001,Coral,132.0,9.0,,,,,,,,,2.0,3.0,"Martin et al., 1982",Karla Zurisadai Rubio Sandoval ,2020-10-24 10:07:42,,118.5,123.0,127.5,132.0,136.5,141.0,145.5,,Recalculation/Report,,-3.150164833920778,0.4898901107194815,4.129945055359741,7.77,11.410054944640258,15.050109889280517,18.690164833920775,
RSL_168,-14.98,-39.003333000000005,"Fazenda Jariri
",,Brazil,Bahia,Sea Level Indicator,Coral reef terrace (general definition),It is a marine terrace that in its base presents a coral reef in which fragments of coral of the species Siderastra sp. were identified. These   allowed the dating of the deposit. ,Not reported,1.27,1.0,,,,-6.5,7.0,Mean Sea Level / General definition,7.77,3.640054944640259,U-Series,Equal to,CP-7,MA82-005-001,Coral,142.0,9.7,,,,,,,,,2.0,3.0,"Martin et al., 1982",Karla Zurisadai Rubio Sandoval ,2020-10-24 10:07:42,,127.45,132.3,137.15,142.0,146.85,151.7,156.55,,Recalculation/Report,,-3.150164833920778,0.4898901107194815,4.129945055359741,7.77,11.410054944640258,15.050109889280517,18.690164833920775,
RSL_950,13.3173,-80.616151,"Providencia Island ""South Point""
",,Colombia,San Andres y Providencia,Sea Level Indicator,Coral reef terrace (general definition),"A narrow Late Pleistocene fringing reef at 'South Point'
represents the only Quaternary reef terrace found on
Providencia. Its reef flat forms a terrace up to 6 m wide,
which rises from 1.2 m to a maximum elevation of 3 m above
present sea-level. ",Not reported,3.0,1.5,,,,-10.0,20.0,Mean Sea Level / General definition,13.0,10.111874208078342,U-Series,Equal to,The U/Th dating was taken from  a single unaltered skeleton of Montastraea annularis . The analyzed ,GE92-001-001,Coral,118.8,35.64,,,,,,,,,1.0,4.0,"Geister,  1992 ",Karla Zurisadai Rubio Sandoval ,2020-09-28 16:00:52,,65.34,83.16,100.97999999999999,118.8,136.62,154.44,172.26,,Recalculation/Report,,-17.33562262423503,-7.223748416156685,2.8881257919216576,13.0,23.11187420807834,33.22374841615668,43.33562262423503,
RSL_557,-20.015275,-158.094275,"Atiu
lower unit",lower unit,Cook Islands,Not Available,Sea Level Indicator,Coral reef terrace (general definition),,Total station or Auto/hand level,1.5,1.5,,,,-9.25,18.5,Mean Low Tide (MLT),10.75,9.370832406995657,U-Series,Equal to,AT8,WO91-001-001,Coral,132.0,10.0,,,,,,,,,1.0,2.0,"Woodroffe et al., 1991",Nadine Hallmann,2020-08-21 14:12:03,,117.0,122.0,127.0,132.0,137.0,142.0,147.0,,Recalculation/Report,,-17.36249722098697,-7.991664813991314,1.3791675930043432,10.75,20.120832406995657,29.491664813991314,38.86249722098697,
RSL_557,-20.015275,-158.094275,"Atiu
lower unit",lower unit,Cook Islands,Not Available,Sea Level Indicator,Coral reef terrace (general definition),,Total station or Auto/hand level,1.5,1.5,,,,-9.25,18.5,Mean Low Tide (MLT),10.75,9.370832406995657,U-Series,Equal to,AT8,WO91-001-002,Coral,111.0,7.0,,,,,,,,,1.0,2.0,"Woodroffe et al., 1991",Nadine Hallmann,2020-08-21 14:12:03,,100.5,104.0,107.5,111.0,114.5,118.0,121.5,,Recalculation/Report,,-17.36249722098697,-7.991664813991314,1.3791675930043432,10.75,20.120832406995657,29.491664813991314,38.86249722098697,
RSL_558,-20.015275,-158.094275,"Atiu
upper unit",upper unit,Cook Islands,Not Available,Sea Level Indicator,Coral reef terrace (general definition),,Total station or Auto/hand level,6.5,3.5,,,,-9.25,18.5,Mean Low Tide (MLT),15.75,9.89002022242624,U-Series,Equal to,AT9,WO91-002-001,Coral,135.0,10.0,,,,,,,,,1.0,2.0,"Woodroffe et al., 1991",Nadine Hallmann,2020-08-21 14:12:24,,120.0,125.0,130.0,135.0,140.0,145.0,150.0,,Recalculation/Report,,-13.920060667278722,-4.030040444852482,5.859979777573759,15.75,25.64002022242624,35.53004044485248,45.42006066727872,
