WALIS_ID,Latitude,Longitude,Site,Subsite,Nation,Region,Type of datapoint,RSL Indicator,RSL indicator description,Elevation measurement technique,Elevation (m),Elevation error (m),Paleo water depth estimate (m),Upper limit of living range (m),Lower limit of living range (m),RWL,IR,Vertical datum,Paleo RSL (m),Paleo RSL uncertainty (m),Dating technique,Timing constraint,Originally reported ID,Analysis ID,Material_type,Reported age (ka),Reported age uncertainty (ka),U-Series recalculated age (ka),U-Series recalculate age uncertainty (ka),"U-Series corrected age (speleothems, ka)","U-Series corrected age uncertainty (speleothems, ka)",Stratigraphy Upper Age (ka),Stratigraphy Lower Age (ka),MIS limit,Marine Isotopic Stage,Quality of RSL information,Quality of age information,Reference(s),Record Created by,Last Update,Lower age,Age (ka) 0.1 perc,Age (ka) 2.3 perc,Age (ka) 15.9 perc,Age (ka) 50 perc,Age (ka) 84.1 perc,Age (ka) 97.7 perc,Age (ka) 99.5 perc,Upper age,Age_mu,Age_2s,Age calculation from,RSL (m) 0.1 perc,RSL (m) 2.3 perc,RSL (m) 15.9 perc,RSL (m) 50 perc,RSL (m) 84.1 perc,RSL (m) 97.7 perc,RSL (m) 99.5 perc
RSL_1334,41.816753,19.58613,"Shengjini
Slopes of Mount Shengjini",Slopes of Mount Shengjini,Albania,Lezhe,Sea Level Indicator,Tidal notch,"Along the western slope of Mount Shengjini, an erosive feature between +30 and +40 m asl has been interpreted by Marko and Gjani (2018) as a tidal notch formed during the marine highstand of MIS 5e. The interpretation is based only on general assumptions and the supporting data are not convincing.",Topographic map and digital elevation models,35,5.09,,,,0,20,Mean Sea Level / General definition,35,11.22087786,Stratigraphic constraint,Equal to,P. latus or Senegalese fauna (Mediterranean),,,,,,,,,130,71,Equal to,MIS 5,0,0,"Marko and Gjani 2018
 Benjamin et al., 2017
 Gignoux, 1913
 Taviani, 2014
 Zazo et al., 2013",Alessandro Fontana,11/1/2020 11:59,71,71.059,72.357,80.381,100.5,120.619,128.643,129.705,130,,,Stratigraphic constraint,1.337366413,12.55824428,23.77912214,35,46.22087786,57.44175572,68.66263359
RSL_11,35.866385,-0.298541,"Arzew
",,Algeria,Alger,Sea Level Indicator,Marine Terrace,,Not reported,38,10,,,,0,2.25,Mean Sea Level / General definition,38,10.06308228,Stratigraphic constraint,Equal to,P. latus or Senegalese fauna (Mediterranean),,,,,,,,,130,71,Equal to,MIS 5,1,1,"Meghraoui et al., 1996
 Benjamin et al., 2017
 Gignoux, 1913
 Taviani, 2014
 Zazo et al., 2013",Alessio Rovere,4/24/2020 17:39,71,71.059,72.357,80.381,100.5,120.619,128.643,129.705,130,,,Stratigraphic constraint,7.810753156,17.87383544,27.93691772,38,48.06308228,58.12616456,68.18924684
RSL_12,35.574939,-1.180597,"Cap Figalo
",,Algeria,Alger,Sea Level Indicator,Marine Terrace,,Not reported,45,10,,,,0.04,2.06,Mean Sea Level / General definition,44.96,10.05290505,Stratigraphic constraint,Equal to,P. latus or Senegalese fauna (Mediterranean),,,,,,,,,130,71,Equal to,MIS 5,1,1,"Meghraoui et al., 1996
 Benjamin et al., 2017
 Gignoux, 1913
 Taviani, 2014
 Zazo et al., 2013",Alessio Rovere,4/24/2020 17:40,71,71.059,72.357,80.381,100.5,120.619,128.643,129.705,130,,,Stratigraphic constraint,14.80128484,24.85418989,34.90709495,44.96,55.01290505,65.06581011,75.11871516
RSL_4,36.63235,2.40189,"Chenoua
Transect AT1",Transect AT1,Algeria,Tipaza,Sea Level Indicator,Marine Terrace,Beach deposits with shells are found on the terrace surface.,Barometric altimeter,3.5,1,,,,0.01,2.21,Mean Sea Level / General definition,3.49,1.49031037,Stratigraphic constraint,Equal to,Tipaza Eemian Terrace,,,,,,,,,168,98,Equal to,MIS 5,3,2,"Authemayou et al., 2017
 Saoudi, 1989
 Stearns and Thurber, 1965",Alessio Rovere,2/22/2021 10:04,98,98.07,99.61,109.13,133,156.87,166.39,167.65,168,,,Stratigraphic constraint,-0.980931111,0.509379259,1.99968963,3.49,4.98031037,6.470620741,7.960931111
RSL_5,36.591389,2.450042,"Tipasa
Transect AT2",Transect AT2,Algeria,Tipaza,Sea Level Indicator,Marine Terrace,Beach deposits with shells are found on the terrace surface.,Barometric altimeter,8,3,,,,0.01,2.21,Mean Sea Level / General definition,7.99,3.197033781,Stratigraphic constraint,Equal to,Tipaza Eemian Terrace,,,,,,,,,168,98,Equal to,MIS 5,2,2,"Authemayou et al., 2017
 Saoudi, 1989
 Stearns and Thurber, 1965",Alessio Rovere,1/13/2021 9:10,98,98.07,99.61,109.13,133,156.87,166.39,167.65,168,,,Stratigraphic constraint,-1.601101344,1.595932437,4.792966219,7.99,11.18703378,14.38406756,17.58110134
RSL_6,36.617189,2.644633,"Bou Haroun
Transect AT3",Transect AT3,Algeria,Tipaza,Sea Level Indicator,Marine Terrace,Beach deposits with shells are found on the terrace surface.,Barometric altimeter,7,1,,,,0.01,2.21,Mean Sea Level / General definition,6.99,1.49031037,U-Series,Equal to,21,AT17-021-001,Mollusk or algae,,,,,,,130,71,Equal to,MIS 5,2,2,"Authemayou et al., 2017
 Saoudi, 1989
 Stearns and Thurber, 1965",Alessio Rovere,1/13/2021 9:11,71,71.059,72.357,80.381,100.5,120.619,128.643,129.705,130,,,Stratigraphic constraint,2.519068889,4.009379259,5.49968963,6.99,8.48031037,9.970620741,11.46093111
RSL_6,36.617189,2.644633,"Bou Haroun
Transect AT3",Transect AT3,Algeria,Tipaza,Sea Level Indicator,Marine Terrace,Beach deposits with shells are found on the terrace surface.,Barometric altimeter,7,1,,,,0.01,2.21,Mean Sea Level / General definition,6.99,1.49031037,Stratigraphic constraint,Equal to,Tipaza Eemian Terrace,,,,,,,,,168,98,Equal to,MIS 5,2,2,"Authemayou et al., 2017
 Saoudi, 1989
 Stearns and Thurber, 1965",Alessio Rovere,1/13/2021 9:11,98,98.07,99.61,109.13,133,156.87,166.39,167.65,168,,,Stratigraphic constraint,2.519068889,4.009379259,5.49968963,6.99,8.48031037,9.970620741,11.46093111
RSL_7,36.594578,2.572592,"Tipasa
Transect AT2'",Transect AT2',Algeria,Tipaza,Sea Level Indicator,Marine Terrace,Beach deposits with shells are found on the terrace surface.,Barometric altimeter,6,2,,,,0.01,2.21,Mean Sea Level / General definition,5.99,2.284956236,Stratigraphic constraint,Equal to,Tipaza Eemian Terrace,,,,,,,,,168,98,Equal to,MIS 5,2,1,"Authemayou et al., 2017
 Saoudi, 1989
 Stearns and Thurber, 1965",Alessio Rovere,4/24/2020 17:38,98,98.07,99.61,109.13,133,156.87,166.39,167.65,168,,,Stratigraphic constraint,-0.864868708,1.420087528,3.705043764,5.99,8.274956236,10.55991247,12.84486871
RSL_8,36.653492,2.77926,"Mazafran
Transect AT4",Transect AT4,Algeria,Tipaza,Sea Level Indicator,Marine Terrace,Beach deposits with shells are found on the terrace surface.,Barometric altimeter,6,1,,,,0.01,2.21,Mean Sea Level / General definition,5.99,1.49031037,Stratigraphic constraint,Equal to,Tipaza Eemian Terrace,,,,,,,,,168,98,Equal to,MIS 5,2,1,"Authemayou et al., 2017
 Saoudi, 1989
 Stearns and Thurber, 1965",Alessio Rovere,4/24/2020 17:38,98,98.07,99.61,109.13,133,156.87,166.39,167.65,168,,,Stratigraphic constraint,1.519068889,3.009379259,4.49968963,5.99,7.48031037,8.970620741,10.46093111
RSL_9,36.798089,2.902117,"Ain Benian
Transect AT5",Transect AT5,Algeria,Tipaza,Sea Level Indicator,Marine Terrace,Beach deposits with shells are found on the terrace surface.,Barometric altimeter,8,3,,,,0.01,2.21,Mean Sea Level / General definition,7.99,3.197033781,U-Series,Equal to,48,AT17-048-001,Mollusk or algae,,,,,,,130,115,Equal to,MIS 5e,2,1,"Authemayou et al., 2017
 Saoudi, 1989
 Stearns and Thurber, 1965",Alessio Rovere,4/24/2020 17:38,115,115.015,115.345,117.385,122.5,127.615,129.655,129.925,130,,,Stratigraphic constraint,-1.601101344,1.595932437,4.792966219,7.99,11.18703378,14.38406756,17.58110134
